account,allocation,cycle
pi-depablo,2000000.0,2013
pi-gavoth,1325000.0,2013
pi-freed,700000.0,2013
pi-joshuaelliott,500000.0,2013
pi-fciesla,500000.0,2013
pi-drowley,500000.0,2013
pi-dinner,500000.0,2013
pi-roux,500000.0,2013
pi-eperozo,500000.0,2013
pi-dbiron,300000.0,2013
pi-fabrycky,160000.0,2013
pi-kravtsov,150000.0,2013
pi-dholz,142000.0,2013
pi-abbot,110000.0,2013
pi-mstephens,100000.0,2013
pi-cpel,100000.0,2013
pi-nicho,100000.0,2013
pi-tokmakoff,98000.0,2013
pi-akonigl,96000.0,2013
pi-lupingyu,90000.0,2013
pi-rbgramacy,75000.0,2013
pi-aaz,75000.0,2013
pi-nbrunel,63000.0,2013
pi-wilde,50000.0,2013
pi-aachien,50000.0,2013
pi-rkessler,50000.0,2013
pi-aclyu,50000.0,2013
pi-taddy,50000.0,2013
pi-arzhetsky,50000.0,2013
pi-jtruran,50000.0,2013
pi-jfrieman,50000.0,2013
pi-skeedy,50000.0,2013
pi-ad15,50000.0,2013
pi-dyork,31000.0,2013
pi-rwg,10000.0,2013
pi-gilbertjack,10000.0,2013
pi-moyer,5000.0,2013
pi-deisenst,5000.0,2013
pi-gavoth,2494000.0,2014
pi-roux,2000000.0,2014
pi-kravtsov,1500000.0,2014
pi-depablo,1400000.0,2014
pi-dbiron,1300000.0,2014
pi-freed,1150000.0,2014
pi-kite,1100000.0,2014
pi-taddy,1098000.0,2014
pi-drowley,1000000.0,2014
pi-dinner,1000000.0,2014
pi-joshuaelliott,1000000.0,2014
pi-hortacsu,850000.0,2014
pi-gnedin,830000.0,2014
pi-abbot,650000.0,2014
pi-burhan,600000.0,2014
pi-ehurst,595000.0,2014
pi-akonigl,557000.0,2014
pi-neiman,550000.0,2014
pi-jfrieman,550000.0,2014
pi-mkolar,550000.0,2014
pi-fciesla,500000.0,2014
pi-eperozo,500000.0,2014
pi-aachien,350000.0,2014
pi-nicho,305000.0,2014
pi-vzhorin,300000.0,2014
pi-gilbertjack,250000.0,2014
pi-nbrunel,200000.0,2014
pi-kazutaka,200000.0,2014
pi-rree,170000.0,2014
pi-collar,150000.0,2014
pi-rossc,150000.0,2014
pi-fabrycky,140000.0,2014
pi-aaz,80000.0,2014
pi-gagalli,80000.0,2014
pi-wenbinlin,80000.0,2014
pi-mstephens,79000.0,2014
pi-sepalmer,75000.0,2014
pi-moyer,66000.0,2014
pi-lupingyu,60000.0,2014
pi-rwg,60000.0,2014
pi-tokmakoff,54000.0,2014
pi-jinbo,50000.0,2014
pi-cpel,50000.0,2014
pi-uschmid,50000.0,2014
pi-rtp1,50000.0,2014
pi-ishanu,50000.0,2014
pi-yaliamit,50000.0,2014
pi-aclyu,50000.0,2014
pi-jozik,50000.0,2014
pi-dpope,50000.0,2014
pi-rbgramacy,50000.0,2014
pi-liantaow,50000.0,2014
pi-ad15,50000.0,2014
pi-jaredlewis,50000.0,2014
pi-tintelnot,50000.0,2014
pi-wilde,50000.0,2014
pi-skeedy,50000.0,2014
pi-gdwyer,50000.0,2014
pi-richardjeanso,50000.0,2014
pi-whu5,50000.0,2014
pi-rkessler,49000.0,2014
pi-wtmirvine,45000.0,2014
pi-kkawaji,45000.0,2014
pi-arzhetsky,44000.0,2014
pi-jtruran,34000.0,2014
pi-dyork,31000.0,2014
pi-deisenst,8000.0,2014
pi-gavoth,3610560.0,2015
pi-roux,3500000.0,2015
pi-foster,2100000.0,2015
pi-depablo,2000000.0,2015
pi-joshuaelliott,1500000.0,2015
pi-drowley,1500000.0,2015
pi-dbiron,1400000.0,2015
pi-freed,1100000.0,2015
pi-mfj,1100000.0,2015
pi-jaredlewis,1069611.0,2015
pi-dachxiu,1050000.0,2015
pi-ebudish,1000000.0,2015
pi-dinner,1000000.0,2015
pi-hortacsu,1000000.0,2015
pi-svaikunt,1000000.0,2015
pi-fciesla,1000000.0,2015
pi-kite,1000000.0,2015
pi-ishanu,1000000.0,2015
pi-gagalli,1000000.0,2015
pi-whu5,1000000.0,2015
pi-taddy,1000000.0,2015
pi-mlcoleman,950000.0,2015
pi-abbot,900000.0,2015
pi-rossc,800000.0,2015
pi-jozik,750000.0,2015
pi-akonigl,700000.0,2015
pi-kravtsov,600000.0,2015
pi-fabrycky,506000.0,2015
pi-kazutaka,500000.0,2015
pi-dholz,500000.0,2015
pi-aachien,500000.0,2015
pi-burhan,488000.0,2015
pi-neiman,470000.0,2015
pi-ehurst,451000.0,2015
pi-tintelnot,400000.0,2015
pi-vzhorin,400000.0,2015
pi-nicho,350000.0,2015
pi-collar,289500.0,2015
pi-sibener,200000.0,2015
pi-yaliamit,200000.0,2015
pi-rtp1,184000.0,2015
pi-mstephens,183000.0,2015
pi-rjlalond,155000.0,2015
pi-gilbertjack,120000.0,2015
pi-sdodelso,100000.0,2015
pi-nbrunel,100000.0,2015
pi-gmatvos,100000.0,2015
pi-jinbo,100000.0,2015
pi-trsosnic,100000.0,2015
pi-jagoldsm,100000.0,2015
pi-levin,100000.0,2015
pi-bkeenan,100000.0,2015
pi-mkolar,100000.0,2015
pi-wtang,100000.0,2015
pi-drm7,100000.0,2015
pi-tas1,100000.0,2015
pi-wenbinlin,95000.0,2015
pi-aaz,80000.0,2015
pi-rkessler,76000.0,2015
pi-bkelly0,60000.0,2015
pi-khanna7,60000.0,2015
pi-tokmakoff,55000.0,2015
pi-uschmid,54000.0,2015
pi-aclyu,52000.0,2015
pi-cobey,52000.0,2015
pi-moyer,52000.0,2015
pi-skeedy,51000.0,2015
pi-rrock,50000.0,2015
pi-stin,50000.0,2015
pi-jacobbean,50000.0,2015
pi-pascualmm,50000.0,2015
pi-dvtalapin,50000.0,2015
pi-sshahul,50000.0,2015
pi-rwg,50000.0,2015
pi-ejadams,50000.0,2015
pi-jfrieman,50000.0,2015
pi-pchintag,50000.0,2015
pi-jschnei1,50000.0,2015
pi-cosar,50000.0,2015
pi-dhooper,50000.0,2015
pi-arzhetsky,49000.0,2015
pi-cpel,49000.0,2015
pi-gdwyer,48000.0,2015
pi-richardjeanso,45000.0,2015
pi-btian,45000.0,2015
pi-kkawaji,45000.0,2015
pi-wtmirvine,43000.0,2015
pi-liantaow,41000.0,2015
pi-dyork,36000.0,2015
pi-dpope,36000.0,2015
pi-weyl,30000.0,2015
pi-rbgramacy,30000.0,2015
pi-wilde,24000.0,2015
pi-sepalmer,21000.0,2015
pi-jevans,10000.0,2015
pi-wilsonp,10000.0,2015
pi-rree,5000.0,2015
pi-depablo,3250000.0,2016
pi-gavoth,2600000.0,2016
pi-roux,2000000.0,2016
pi-rossc,2000000.0,2016
pi-taddy,1600000.0,2016
pi-freed,1550000.0,2016
pi-kite,1500000.0,2016
pi-gagalli,1500000.0,2016
pi-sepalmer,1500000.0,2016
pi-wtang,1500000.0,2016
pi-jecarlst,1200000.0,2016
pi-bkeenan,1141000.0,2016
pi-rkessler,1110000.0,2016
pi-aaz,1093000.0,2016
rcc-temp2,1010000.0,2016
pi-abbot,1000000.0,2016
pi-vmbertho,1000000.0,2016
pi-svaikunt,900000.0,2016
pi-joshuaelliott,900000.0,2016
pi-hortacsu,850000.0,2016
pi-jschnei1,825000.0,2016
pi-arzhetsky,800000.0,2016
pi-mstephens,790000.0,2016
pi-whu5,750000.0,2016
pi-lgrandi,700000.0,2016
pi-rbgramacy,700000.0,2016
pi-kazutaka,650000.0,2016
pi-fciesla,650000.0,2016
pi-trsosnic,605000.0,2016
pi-dinner,600000.0,2016
pi-jaredlewis,600000.0,2016
pi-ftchong,550000.0,2016
pi-pascualmm,550000.0,2016
pi-avieregg,500000.0,2016
pi-dholz,500000.0,2016
pi-nicho,500000.0,2016
pi-kravtsov,500000.0,2016
pi-gan1,500000.0,2016
pi-ishanu,500000.0,2016
pi-dachxiu,500000.0,2016
pi-rwg,500000.0,2016
pi-gdwyer,500000.0,2016
pi-tintelnot,500000.0,2016
pi-neiman,470000.0,2016
pi-jnovembre,456000.0,2016
pi-burhan,453000.0,2016
pi-nfschere,400000.0,2016
pi-vzhorin,400000.0,2016
pi-aclyu,400000.0,2016
pi-cobey,360000.0,2016
pi-johntmurphy,350000.0,2016
pi-dbiron,300000.0,2016
pi-mfj,280000.0,2016
pi-jacobbean,250000.0,2016
pi-jozik,250000.0,2016
pi-eperozo,250000.0,2016
pi-jevans,210000.0,2016
pi-drowley,200000.0,2016
pi-scrosson,180000.0,2016
pi-yaliamit,175000.0,2016
pi-ehurst,160775.0,2016
pi-sibener,150000.0,2016
pi-rtp1,150000.0,2016
pi-skeedy,143000.0,2016
pi-akonigl,120000.0,2016
pi-jagoldsm,100000.0,2016
pi-rayid,100000.0,2016
pi-mkre,100000.0,2016
pi-collar,97500.0,2016
pi-mlcoleman,97000.0,2016
pi-gmatvos,97000.0,2016
pi-nbrunel,95000.0,2016
pi-drm7,93000.0,2016
pi-sdodelso,85000.0,2016
pi-mkolar,76000.0,2016
pi-risi,70000.0,2016
pi-khanna7,63000.0,2016
pi-jfrieman,61000.0,2016
pi-rjlalond,61000.0,2016
pi-wilsonp,59000.0,2016
pi-tokmakoff,57000.0,2016
pi-sshahul,55000.0,2016
pi-levin,53000.0,2016
pi-lamadon,50000.0,2016
pi-stin,50000.0,2016
pi-gilbertjack,50000.0,2016
pi-nnn,50000.0,2016
pi-salesina,50000.0,2016
pi-aachien,50000.0,2016
pi-aolinto,50000.0,2016
pi-haky,50000.0,2016
pi-xisong,50000.0,2016
pi-jdingel,50000.0,2016
pi-vavra,50000.0,2016
pi-gilad,50000.0,2016
pi-cpel,49000.0,2016
pi-richardjeanso,45000.0,2016
pi-kkawaji,45000.0,2016
pi-btian,45000.0,2016
pi-ejadams,44000.0,2016
pi-pchintag,43000.0,2016
pi-moyer,37000.0,2016
pi-dhooper,33000.0,2016
pi-bkelly0,33000.0,2016
pi-rrock,33000.0,2016
pi-cosar,33000.0,2016
pi-wenbinlin,31000.0,2016
pi-wtmirvine,30000.0,2016
pi-dpope,27000.0,2016
pi-wilde,25000.0,2016
pi-weyl,23000.0,2016
pi-sokolov,10000.0,2016
pi-amurugan,10000.0,2016
pi-ljb4,10000.0,2016
pi-liantaow,9000.0,2016
pi-jinbo,9000.0,2016
pi-tas1,5000.0,2016
pi-glk,5000.0,2016
pi-gskarczm,1000.0,2016
rcc-staff,100.0,2016
pi-gavoth,6548000.0,2017
pi-depablo,6000000.0,2017
pi-gagalli,3000000.0,2017
pi-arzhetsky,2830000.0,2017
pi-trsosnic,2550000.0,2017
pi-hortacsu,2310000.0,2017
pi-freed,2200000.0,2017
pi-roux,2100000.0,2017
pi-whu5,2050000.0,2017
pi-taddy,2000000.0,2017
pi-hankhoffmann,2000000.0,2017
pi-bkeenan,1950000.0,2017
pi-mstephens,1916000.0,2017
pi-dinner,1750000.0,2017
pi-ghitsch,1602619.0,2017
pi-kravtsov,1500000.0,2017
pi-yanjingl,1400000.0,2017
pi-abbot,1395000.0,2017
pi-neiman,1235000.0,2017
pi-cobey,1150000.0,2017
pi-ishanu,1100000.0,2017
pi-vavra,1053784.0,2017
pi-nnn,1044484.0,2017
pi-haky,1041506.0,2017
pi-sdodelso,1027655.0,2017
pi-ggreene,1005000.0,2017
pi-gdwyer,1000000.0,2017
pi-kite,1000000.0,2017
pi-joshuaelliott,1000000.0,2017
pi-mkre,1000000.0,2017
pi-rkessler,1000000.0,2017
pi-drowley,1000000.0,2017
pi-svaikunt,1000000.0,2017
pi-jaredlewis,1000000.0,2017
pi-mfj,1000000.0,2017
pi-nfschere,1000000.0,2017
pi-jevans,1000000.0,2017
pi-lgrandi,1000000.0,2017
pi-pascualmm,850000.0,2017
pi-aaz,750000.0,2017
pi-avieregg,600000.0,2017
pi-wenbinlin,570000.0,2017
pi-jaeger,560674.0,2017
pi-jheckman,555000.0,2017
pi-jlskinner,550000.0,2017
pi-burhan,550000.0,2017
pi-ejadams,544000.0,2017
pi-scrosson,505071.0,2017
pi-dholz,500000.0,2017
pi-mkronforst,480000.0,2017
pi-vmbertho,460000.0,2017
pi-amurugan,453673.0,2017
pi-stin,450585.0,2017
pi-tintelnot,450000.0,2017
pi-aachien,438569.0,2017
pi-xinhe,424982.0,2017
