account,allocation
pi-depablo,4000000.0
pi-gavoth,4000000.0
pi-ishanu,4000000.0
pi-roux,4000000.0
pi-gagalli,4000000.0
pi-arzhetsky,4000000.0
pi-vmbertho,3000000.0
pi-dinner,3000000.0
pi-weare,2500000.0
pi-dachxiu,2500000.0
pi-yanjingl,2000000.0
pi-priviter,2000000.0
pi-kite,2000000.0
pi-mstephens,1993600.0
pi-abbot,1800000.0
pi-whu5,1780000.0
pi-mfj,1750000.0
pi-hortacsu,1750000.0
pi-freed,1650000.0
pi-ghitsch,1600000.0
pi-mengjiechen,1600000.0
pi-rossc,1560000.0
pi-nicho,1510000.0
pi-trsosnic,1500000.0
pi-taddy,1500000.0
pi-lgrandi,1400000.0
pi-ejadams,1250000.0
pi-jsolway,1054616.0
pi-risi,1050280.0
pi-kavibhalla,1050054.0
pi-gkaplan,1047901.0
pi-srnagel,1034431.0
pi-levin,1008107.0
pi-yangili1,1003000.0
pi-weberm,1002501.0
pi-foster,1000527.0
pi-gdwyer,1000000.0
pi-bkeenan,1000000.0
pi-kravtsov,1000000.0
pi-gilad,1000000.0
pi-aaz,1000000.0
pi-rkessler,1000000.0
pi-svaikunt,870000.0
pi-gnedin,813997.0
pi-nfschere,800000.0
pi-amurugan,800000.0
pi-avieregg,800000.0
pi-xinhe,777000.0
pi-pascualmm,750000.0
pi-kazutaka,710000.0
pi-cobey,680000.0
pi-jheckman,620672.0
pi-jdingel,607454.0
pi-sdodelso,600000.0
pi-mrust,555000.0
pi-lhansen,550000.0
pi-jingyifei,505000.0
pi-jlskinner,500000.0
pi-gconstan,500000.0
pi-wtang,500000.0
pi-wenbinlin,460000.0
pi-nnn,450000.0
pi-l332,450000.0
pi-vavra,450000.0
pi-khanna7,440000.0
pi-moyer,419029.0
pi-jhuangime,403953.0
pi-tintelnot,400000.0
pi-dholz,400000.0
pi-wtmirvine,380000.0
pi-aachien,373612.0
pi-mkolar,349661.0
pi-jaeger,320000.0
pi-jnovembre,300000.0
pi-ftchong,300000.0
pi-chuanhe,250000.0
pi-berkelbach,250000.0
pi-neiman,250000.0
pi-jozik,200000.0
pi-haky,160000.0
pi-tzh,105000.0
pi-tas1,100000.0
pi-drowley,100000.0
pi-uakcigit,100000.0
pi-mlcoleman,100000.0
pi-burhan,97057.0
pi-fritziea,97014.0
pi-tcovert,79871.0
pi-stin,65594.0
pi-bursztyn,55000.0
pi-baderk,55000.0
pi-emir,55000.0
pi-caprioli,54865.0
pi-bata,54848.0
pi-pricet,54785.0
pi-drubin8,54634.0
pi-larogers,54511.0
pi-dis,54316.0
pi-sliman,53540.0
pi-ahigh,53193.0
pi-glk,53000.0
pi-joet1,52620.0
pi-scicala,51488.0
pi-littlewood,50954.0
