account,allocation
pi-gavoth,2494000.0
pi-roux,2000000.0
pi-kravtsov,1500000.0
pi-depablo,1400000.0
pi-dbiron,1300000.0
pi-freed,1150000.0
pi-kite,1100000.0
pi-taddy,1098000.0
pi-drowley,1000000.0
pi-dinner,1000000.0
pi-joshuaelliott,1000000.0
pi-hortacsu,850000.0
pi-gnedin,830000.0
pi-abbot,650000.0
pi-burhan,600000.0
pi-ehurst,595000.0
pi-akonigl,557000.0
pi-neiman,550000.0
pi-jfrieman,550000.0
pi-mkolar,550000.0
pi-fciesla,500000.0
pi-eperozo,500000.0
pi-aachien,350000.0
pi-nicho,305000.0
pi-vzhorin,300000.0
pi-gilbertjack,250000.0
pi-nbrunel,200000.0
pi-kazutaka,200000.0
pi-rree,170000.0
pi-collar,150000.0
pi-rossc,150000.0
pi-fabrycky,140000.0
pi-aaz,80000.0
pi-gagalli,80000.0
pi-wenbinlin,80000.0
pi-mstephens,79000.0
pi-sepalmer,75000.0
pi-moyer,66000.0
pi-lupingyu,60000.0
pi-rwg,60000.0
pi-tokmakoff,54000.0
pi-jinbo,50000.0
pi-cpel,50000.0
pi-uschmid,50000.0
pi-rtp1,50000.0
pi-ishanu,50000.0
pi-yaliamit,50000.0
pi-aclyu,50000.0
pi-jozik,50000.0
pi-dpope,50000.0
pi-rbgramacy,50000.0
pi-liantaow,50000.0
pi-ad15,50000.0
pi-jaredlewis,50000.0
pi-tintelnot,50000.0
pi-wilde,50000.0
pi-skeedy,50000.0
pi-gdwyer,50000.0
pi-richardjeanso,50000.0
pi-whu5,50000.0
pi-rkessler,49000.0
pi-wtmirvine,45000.0
pi-kkawaji,45000.0
pi-arzhetsky,44000.0
pi-jtruran,34000.0
pi-dyork,31000.0
pi-deisenst,8000.0
