status,date,cores
alloc,2016-09-10,0.0
alloc,2016-09-11,0.0
alloc,2016-09-12,0.0416666666667
alloc,2016-09-13,15.9930555556
alloc,2016-09-14,10.53125
alloc,2016-09-15,0.0
alloc,2016-09-16,0.0
alloc,2016-09-17,0.0
alloc,2016-09-18,0.0
alloc,2016-09-19,0.0
alloc,2016-09-20,9.8701754386
alloc,2016-09-21,15.5625
alloc,2016-09-22,44.0243055556
alloc,2016-09-23,299.052083333
alloc,2016-09-24,16.5277777778
alloc,2016-09-25,105.972222222
alloc,2016-09-26,4388.02777778
alloc,2016-09-27,1649.16901408
alloc,2016-09-28,906.667857143
alloc,2016-09-29,4027.42028986
alloc,2016-09-30,1353.05902778
alloc,2016-10-01,8974.62847222
alloc,2016-10-02,8960.0
alloc,2016-10-03,4825.20833333
alloc,2016-10-04,8687.04513889
alloc,2016-10-05,6578.07307692
alloc,2016-10-06,346.191637631
alloc,2016-10-07,1636.89198606
alloc,2016-10-08,4641.66319444
alloc,2016-10-09,5795.22222222
alloc,2016-10-10,5600.68531469
alloc,2016-10-11,9592.375
alloc,2016-10-12,8354.81428571
alloc,2016-10-13,4820.51929825
alloc,2016-10-14,5950.48611111
alloc,2016-10-15,7521.69444444
alloc,2016-10-16,3502.43055556
alloc,2016-10-17,4308.09756098
alloc,2016-10-18,5131.19444444
alloc,2016-10-19,9281.94097222
alloc,2016-10-20,6377.99652778
alloc,2016-10-21,9148.22222222
alloc,2016-10-22,7943.93055556
alloc,2016-10-23,6698.33333333
alloc,2016-10-24,7489.22222222
alloc,2016-10-25,3804.5
alloc,2016-10-26,4234.38888889
alloc,2016-10-27,7688.73611111
alloc,2016-10-28,7035.01736111
alloc,2016-10-29,8645.42361111
alloc,2016-10-30,8099.09027778
alloc,2016-10-31,8041.73611111
alloc,2016-11-01,6114.45833333
alloc,2016-11-02,6279.19444444
alloc,2016-11-03,4307.80208333
alloc,2016-11-04,4689.80902778
alloc,2016-11-05,2551.05555556
alloc,2016-11-06,7435.5
alloc,2016-11-07,1590.73611111
alloc,2016-11-08,1141.28472222
alloc,2016-11-09,3522.68989547
alloc,2016-11-10,6735.27777778
alloc,2016-11-11,6807.95121951
alloc,2016-11-12,9524.18085106
alloc,2016-11-13,8151.26041667
alloc,2016-11-14,6794.19444444
alloc,2016-11-15,7896.55944056
alloc,2016-11-16,6910.58680556
alloc,2016-11-17,6538.69791667
alloc,2016-11-18,6796.25
alloc,2016-11-19,5973.57458564
alloc,2016-11-20,5277.14236111
alloc,2016-11-21,4523.07291667
alloc,2016-11-22,6216.18402778
alloc,2016-11-23,9391.625
alloc,2016-11-24,5148.02777778
alloc,2016-11-25,4590.44791667
alloc,2016-11-26,5651.98611111
alloc,2016-11-27,4471.20905923
alloc,2016-11-28,4087.15277778
alloc,2016-11-29,5067.24738676
alloc,2016-11-30,4999.97222222
alloc,2016-12-01,8382.36563877
alloc,2016-12-02,8224.32986111
alloc,2016-12-03,7847.34722222
alloc,2016-12-04,3274.92361111
alloc,2016-12-05,3482.11458333
alloc,2016-12-06,6675.45833333
alloc,2016-12-07,7919.4020979
alloc,2016-12-08,7737.00347222
alloc,2016-12-09,5921.83333333
alloc,2016-12-10,5118.37847222
alloc,2016-12-11,4513.56794425
alloc,2016-12-12,4557.0625
alloc,2016-12-13,4816.9375
alloc,2016-12-14,3820.59027778
alloc,2016-12-15,4666.39236111
alloc,2016-12-16,4236.59375
alloc,2016-12-17,4614.06944444
alloc,2016-12-18,4070.13888889
alloc,2016-12-19,4780.57986111
alloc,2016-12-20,6599.15625
alloc,2016-12-21,7160.79166667
alloc,2016-12-22,7359.09027778
alloc,2016-12-23,7146.27777778
alloc,2016-12-24,7950.75694444
alloc,2016-12-25,6546.53846154
alloc,2016-12-26,4846.67013889
alloc,2016-12-27,6767.69444444
alloc,2016-12-28,4892.62152778
alloc,2016-12-29,3890.05555556
alloc,2016-12-30,6083.09375
alloc,2016-12-31,2942.71875
alloc,2017-01-01,4014.70486111
alloc,2017-01-02,4855.47222222
alloc,2017-01-03,5274.81597222
alloc,2017-01-04,5708.00694444
alloc,2017-01-05,5402.95486111
alloc,2017-01-06,3049.39583333
alloc,2017-01-07,1537.02083333
alloc,2017-01-08,954.5625
alloc,2017-01-09,1716.75347222
alloc,2017-01-10,2978.68402778
alloc,2017-01-11,2489.06597222
alloc,2017-01-12,2745.8125
alloc,2017-01-13,6343.6875
alloc,2017-01-14,2612.39236111
alloc,2017-01-15,2391.27118644
alloc,2017-01-16,2495.20486111
alloc,2017-01-17,3504.36805556
alloc,2017-01-18,3641.63194444
alloc,2017-01-19,4012.23611111
alloc,2017-01-20,4287.46180556
alloc,2017-01-21,3278.48951049
alloc,2017-01-22,2317.90972222
alloc,2017-01-23,2474.16319444
alloc,2017-01-24,4213.54861111
alloc,2017-01-25,4003.10416667
alloc,2017-01-26,3238.58680556
alloc,2017-01-27,2279.17361111
alloc,2017-01-28,1966.46875
alloc,2017-01-29,2713.70138889
alloc,2017-01-30,3385.38888889
alloc,2017-01-31,4839.42361111
alloc,2017-02-01,4982.65263158
alloc,2017-02-02,4466.53903346
alloc,2017-02-03,0.0
alloc,2017-02-04,0.0
alloc,2017-02-05,440.71875
alloc,2017-02-06,1466.35069444
alloc,2017-02-07,3395.28472222
alloc,2017-02-08,2713.8018018
alloc,2017-02-09,4783.62105263
alloc,2017-02-10,5174.19097222
alloc,2017-02-11,3470.76736111
alloc,2017-02-12,1098.69791667
alloc,2017-02-13,2863.93402778
alloc,2017-02-14,3843.72916667
alloc,2017-02-15,3058.24305556
alloc,2017-02-16,2328.87152778
alloc,2017-02-17,2273.375
alloc,2017-02-18,2827.3125
alloc,2017-02-19,3752.78472222
alloc,2017-02-20,3341.92361111
alloc,2017-02-21,3836.32986111
alloc,2017-02-22,3784.00754717
alloc,2017-02-23,4278.39236111
alloc,2017-02-24,1729.95833333
alloc,2017-02-25,94.0
alloc,2017-02-26,
alloc,2017-02-27,3700.72289157
alloc,2017-02-28,3889.06944444
alloc,2017-03-01,3819.61805556
alloc,2017-03-02,5288.49652778
alloc,2017-03-03,4833.86805556
alloc,2017-03-04,4125.98954704
alloc,2017-03-05,5774.67361111
alloc,2017-03-06,3910.52083333
alloc,2017-03-07,6528.58536585
alloc,2017-03-08,5593.32638889
alloc,2017-03-09,3972.84375
alloc,2017-03-10,2611.82638889
alloc,2017-03-11,3723.81597222
alloc,2017-03-12,1300.8125
alloc,2017-03-13,1032.90625
alloc,2017-03-14,1259.98263889
alloc,2017-03-15,3305.47916667
alloc,2017-03-16,3951.98263889
alloc,2017-03-17,5237.94097222
alloc,2017-03-18,5055.45833333
alloc,2017-03-19,3334.64236111
alloc,2017-03-20,2386.71180556
alloc,2017-03-21,3341.22648084
alloc,2017-03-22,3149.94791667
alloc,2017-03-23,4079.71875
alloc,2017-03-24,2895.5625
alloc,2017-03-25,4831.90277778
alloc,2017-03-26,4417.46180556
alloc,2017-03-27,5006.05208333
alloc,2017-03-28,4170.07719298
alloc,2017-03-29,3989.52777778
alloc,2017-03-30,2801.42013889
alloc,2017-03-31,2204.29513889
alloc,2017-04-01,5909.01041667
alloc,2017-04-02,6784.82867133
alloc,2017-04-03,4806.64236111
alloc,2017-04-04,5327.87985866
alloc,2017-04-05,4950.25347222
alloc,2017-04-06,3242.3556338
alloc,2017-04-07,4056.5625
alloc,2017-04-08,3056.67013889
alloc,2017-04-09,3780.15625
alloc,2017-04-10,4003.42013889
alloc,2017-04-11,3377.15679443
alloc,2017-04-12,4295.26388889
alloc,2017-04-13,4627.97887324
alloc,2017-04-14,5114.34375
alloc,2017-04-15,4049.39930556
alloc,2017-04-16,3061.86805556
alloc,2017-04-17,3926.26480836
alloc,2017-04-18,4167.78819444
alloc,2017-04-19,3979.43402778
alloc,2017-04-20,5751.40277778
alloc,2017-04-21,6401.42708333
alloc,2017-04-22,4563.16666667
alloc,2017-04-23,4212.65972222
alloc,2017-04-24,2672.01736111
alloc,2017-04-25,3030.97916667
alloc,2017-04-26,4836.80208333
alloc,2017-04-27,4821.34027778
alloc,2017-04-28,6367.94444444
alloc,2017-04-29,5575.29824561
alloc,2017-04-30,3574.63194444
alloc,2017-05-01,4931.72222222
alloc,2017-05-02,5353.64583333
alloc,2017-05-03,4514.63541667
alloc,2017-05-04,5190.11805556
alloc,2017-05-05,5383.90625
alloc,2017-05-06,6264.16666667
alloc,2017-05-07,3305.20486111
alloc,2017-05-08,4270.59722222
alloc,2017-05-09,4536.04513889
alloc,2017-05-10,4062.89930556
alloc,2017-05-11,3942.29861111
alloc,2017-05-12,3009.85763889
alloc,2017-05-13,3143.32291667
alloc,2017-05-14,4923.36111111
alloc,2017-05-15,4570.02777778
alloc,2017-05-16,6842.39930556
alloc,2017-05-17,5724.80902778
alloc,2017-05-18,6201.73958333
alloc,2017-05-19,5922.44444444
alloc,2017-05-20,5319.69791667
alloc,2017-05-21,5051.89930556
alloc,2017-05-22,4794.34027778
alloc,2017-05-23,6567.64236111
alloc,2017-05-24,5919.01736111
alloc,2017-05-25,5520.64583333
alloc,2017-05-26,3222.57291667
alloc,2017-05-27,1921.76388889
alloc,2017-05-28,1775.59027778
alloc,2017-05-29,944.3125
alloc,2017-05-30,2777.36585366
alloc,2017-05-31,3967.81944444
alloc,2017-06-01,2971.77083333
alloc,2017-06-02,6138.48958333
alloc,2017-06-03,4652.68881119
alloc,2017-06-04,3679.23611111
alloc,2017-06-05,4626.12152778
alloc,2017-06-06,5689.59375
alloc,2017-06-07,6889.04513889
alloc,2017-06-08,6156.72916667
alloc,2017-06-09,5549.22916667
alloc,2017-06-10,6041.78125
alloc,2017-06-11,6924.31597222
alloc,2017-06-12,6533.76041667
alloc,2017-06-13,4771.16319444
alloc,2017-06-14,5992.18466899
alloc,2017-06-15,5899.92361111
alloc,2017-06-16,4215.37847222
alloc,2017-06-17,4956.28472222
alloc,2017-06-18,4899.26041667
alloc,2017-06-19,4841.2195122
alloc,2017-06-20,5415.83333333
alloc,2017-06-21,6145.81944444
alloc,2017-06-22,6219.08741259
alloc,2017-06-23,5310.18947368
alloc,2017-06-24,5992.73611111
alloc,2017-06-25,5573.04513889
alloc,2017-06-26,4831.00694444
alloc,2017-06-27,5606.11805556
alloc,2017-06-28,4625.67361111
alloc,2017-06-29,4418.81881533
alloc,2017-06-30,4422.9375
alloc,2017-07-01,4471.71527778
alloc,2017-07-02,4937.23958333
alloc,2017-07-03,3946.20486111
alloc,2017-07-04,6465.71180556
alloc,2017-07-05,6494.48611111
alloc,2017-07-06,5126.33680556
alloc,2017-07-07,3039.24305556
alloc,2017-07-08,5134.00694444
alloc,2017-07-09,5029.65156794
alloc,2017-07-10,6216.20833333
alloc,2017-07-11,6236.19791667
alloc,2017-07-12,6963.4245614
alloc,2017-07-13,6591.96875
alloc,2017-07-14,6834.15625
alloc,2017-07-15,4188.18402778
alloc,2017-07-16,4479.76736111
alloc,2017-07-17,4405.47916667
alloc,2017-07-18,4015.22916667
alloc,2017-07-19,5519.53125
alloc,2017-07-20,5210.0625
alloc,2017-07-21,4215.08333333
alloc,2017-07-22,4537.8125
alloc,2017-07-23,3786.14236111
alloc,2017-07-24,2899.20833333
alloc,2017-07-25,4546.08333333
alloc,2017-07-26,6024.74305556
alloc,2017-07-27,5295.59722222
alloc,2017-07-28,5515.99305556
alloc,2017-07-29,4993.05902778
alloc,2017-07-30,6868.27777778
alloc,2017-07-31,7045.11111111
alloc,2017-08-01,4099.13194444
alloc,2017-08-02,5871.80208333
alloc,2017-08-03,6458.26041667
alloc,2017-08-04,4885.24305556
alloc,2017-08-05,5101.99652778
alloc,2017-08-06,3574.63888889
alloc,2017-08-07,4459.44444444
alloc,2017-08-08,7048.15972222
alloc,2017-08-09,5894.28472222
alloc,2017-08-10,3924.50694444
alloc,2017-08-11,2472.56944444
alloc,2017-08-12,2029.05902778
alloc,2017-08-13,2491.95486111
alloc,2017-08-14,4467.31944444
alloc,2017-08-15,5738.03472222
alloc,2017-08-16,4819.14236111
alloc,2017-08-17,5108.69791667
alloc,2017-08-18,3823.93055556
alloc,2017-08-19,2566.44791667
alloc,2017-08-20,1884.82986111
alloc,2017-08-21,5189.67361111
