date,alloc,idle,other,pending,total
2016-09-10,0.0,29.7700348432,17.4773519164,,47.2473867596
2016-09-11,0.0,56.0,0.0,,56.0
2016-09-12,0.0416666666667,482.375,244.61111111099999,1.0,727.0277777780001
2016-09-13,15.9930555556,9462.39583333,135.91666666700002,56.5,9614.30555556
2016-09-14,10.53125,7709.39930556,2640.06944444,1.0434782608700002,10360.0
2016-09-15,0.0,0.0,10360.0,1.0,10360.0
2016-09-16,0.0,0.0,10360.0,1.0,10360.0
2016-09-17,0.0,4.86111111111,10355.138888899999,1.0,10360.0
2016-09-18,0.0,28.0,10332.0,1.0,10360.0
2016-09-19,0.0,28.0,10332.0,1.0,10360.0
2016-09-20,9.8701754386,1792.24912281,8557.88070175,1.08620689655,10360.0
2016-09-21,15.5625,9010.45138889,1333.98611111,,10360.0
2016-09-22,44.0243055556,10177.6284722,138.347222222,,10360.0
2016-09-23,299.052083333,9878.94791667,182.0,374.75,10360.0
2016-09-24,16.5277777778,9960.125,383.34722222199997,,10360.0
2016-09-25,105.97222222200001,9837.04166667,416.98611111099996,,10360.0
2016-09-26,4388.02777778,5508.41666667,463.555555556,1474.66666667,10360.0
2016-09-27,1649.16901408,6570.4084507,2140.42253521,12563.889502799999,10360.0
2016-09-28,906.667857143,3203.13214286,6250.2,8682.324,10360.0
2016-09-29,4027.42028986,5808.79710145,523.782608696,9595.31666667,10360.0
2016-09-30,1353.05902778,8884.24652778,122.694444444,4029.15021459,10360.0
2016-10-01,8974.62847222,1250.42708333,134.944444444,10543.524752500001,10360.0
2016-10-02,8960.0,1232.0,168.0,,10360.0
2016-10-03,4825.20833333,5257.22222222,277.569444444,7122.53731343,10360.0
2016-10-04,8687.04513889,1047.32986111,625.625,406.0,10360.0
2016-10-05,6578.07307692,1844.65,1937.27692308,432.13333333300005,10360.0
2016-10-06,346.191637631,370.39372822300004,9643.41463415,461.33333333300004,10360.0
2016-10-07,1636.89198606,3159.98606272,5563.12195122,1088.0,10360.0
2016-10-08,4641.66319444,5606.33680556,112.0,6803.24324324,10360.0
2016-10-09,5795.22222222,4452.77777778,112.0,10379.098484799999,10360.0
2016-10-10,5600.68531469,4600.51748252,158.797202797,7899.14444444,10360.0
2016-10-11,9592.375,485.680555556,281.944444444,8783.32986111,10360.0
2016-10-12,8354.81428571,1321.28571429,683.9,8143.8705036,10360.0
2016-10-13,4820.51929825,3421.89473684,2117.58596491,7167.52592593,10360.0
2016-10-14,5950.48611111,2245.25,2164.26388889,10281.7222222,10360.0
2016-10-15,7521.69444444,2649.98611111,188.31944444400003,11156.444444399998,10360.0
2016-10-16,3502.43055556,6689.56944444,168.0,10395.388888899999,10360.0
2016-10-17,4308.09756098,5890.82926829,161.073170732,10009.4596491,10360.0
2016-10-18,5131.19444444,5088.80555556,140.0,10690.3715278,10360.0
2016-10-19,9281.94097222,938.0590277780001,140.0,8599.5,10360.0
2016-10-20,6377.99652778,3885.94791667,127.555555556,8527.33333333,10391.5
2016-10-21,9148.22222222,1911.77777778,56.0,9827.06319703,11116.0
2016-10-22,7943.93055556,3116.06944444,56.0,10465.486111100001,11116.0
2016-10-23,6698.33333333,4361.66666667,56.0,8794.13888889,11116.0
2016-10-24,7489.22222222,3635.23611111,58.5277777778,7335.41666667,11182.986111100001
2016-10-25,3804.5,7657.125,18.375,7405.51388889,11480.0
2016-10-26,4234.38888889,7046.69444444,44.7222222222,10441.388888899999,11325.805555600002
2016-10-27,7688.73611111,3399.26388889,28.0,23312.5381944,11116.0
2016-10-28,7035.01736111,4050.45486111,30.5277777778,16806.4375,11116.0
2016-10-29,8645.42361111,2414.57638889,56.0,16079.7777778,11116.0
2016-10-30,8099.09027778,2960.90972222,56.0,14736.166666699999,11116.0
2016-10-31,8041.73611111,3018.26388889,56.0,9750.61111111,11116.0
2016-11-01,6114.45833333,4945.54166667,56.0,7229.95833333,11116.0
2016-11-02,6279.19444444,4547.47222222,289.333333333,4609.70138889,11116.0
2016-11-03,4307.80208333,6752.19791667,56.0,3285.41666667,11116.0
2016-11-04,4689.80902778,6361.44097222,64.75,2380.77027027,11116.0
2016-11-05,2551.05555556,1502.91666667,7062.02777778,6035.74129353,11116.0
2016-11-06,7435.5,3624.5,56.0,320.0,11116.0
2016-11-07,1590.73611111,9457.88888889,67.375,327.0,11116.0
2016-11-08,1141.28472222,9929.11805556,45.5972222222,1068.97797357,11116.0
2016-11-09,3522.68989547,7564.2369338,29.0731707317,2285.38675958,11116.0
2016-11-10,6735.27777778,4324.72222222,56.0,1132.39930556,11116.0
2016-11-11,6807.95121951,4262.3902439,45.6585365854,758.715789474,11116.0
2016-11-12,9524.18085106,1563.81914894,28.0,3388.04710145,11116.0
2016-11-13,8151.26041667,2936.73958333,28.0,4792.75,11116.0
2016-11-14,6794.19444444,4293.80555556,28.0,3654.01388889,11116.0
2016-11-15,7896.55944056,3191.44055944,28.0,2582.10661765,11116.0
2016-11-16,6910.58680556,4151.94097222,53.4722222222,1958.37152778,11116.0
2016-11-17,6538.69791667,4525.67708333,51.625,2795.29861111,11116.0
2016-11-18,6796.25,4291.75,28.0,1009.13617021,11116.0
2016-11-19,5973.57458564,5091.06629834,51.359116022100004,1008.3373493999999,11116.0
2016-11-20,5277.14236111,5782.85763889,56.0,946.419642857,11116.0
2016-11-21,4523.07291667,6536.92708333,56.0,653.065217391,11116.0
2016-11-22,6216.18402778,4843.81597222,56.0,4562.112280699999,11116.0
2016-11-23,9391.625,1665.65277778,58.7222222222,5037.25347222,11116.0
2016-11-24,5148.02777778,5138.76388889,271.152777778,1084.86111111,10557.944444399998
2016-11-25,4590.44791667,5506.85763889,234.69444444400003,1195.96527778,10332.0
2016-11-26,5651.98611111,4456.01388889,224.0,484.631944444,10332.0
2016-11-27,4471.20905923,5636.79094077,224.0,310.653465347,10332.0
2016-11-28,4087.15277778,6020.84722222,224.0,266.5625,10332.0
2016-11-29,5067.24738676,5031.77700348,232.97560975599998,187.51234567900002,10332.0
2016-11-30,4999.97222222,5080.02777778,252.0,1856.99305556,10332.0
2016-12-01,8382.36563877,1209.66960352,739.964757709,40946.6211454,10332.0
2016-12-02,8224.32986111,1855.67013889,252.0,18009.1944444,10332.0
2016-12-03,7847.34722222,2194.67708333,289.975694444,8749.88194444,10332.0
