status,date,cores
alloc,2013-06-01,1039.78431373
alloc,2013-06-02,749.6875
alloc,2013-06-03,1523.11805556
alloc,2013-06-04,2096.65972222
alloc,2013-06-05,1705.10069444
alloc,2013-06-06,2375.89583333
alloc,2013-06-07,1889.50347222
alloc,2013-06-08,1238.93055556
alloc,2013-06-09,1151.21875
alloc,2013-06-10,1524.34027778
alloc,2013-06-11,1687.17361111
alloc,2013-06-12,1904.64236111
alloc,2013-06-13,1618.59722222
alloc,2013-06-14,1739.62847222
alloc,2013-06-15,1823.96875
alloc,2013-06-16,1437.07638889
alloc,2013-06-17,1524.08680556
alloc,2013-06-18,1775.50347222
alloc,2013-06-19,1564.78472222
alloc,2013-06-20,1565.78472222
alloc,2013-06-21,1898.34027778
alloc,2013-06-22,1906.02430556
alloc,2013-06-23,922.708333333
alloc,2013-06-24,1727.72222222
alloc,2013-06-25,2110.375
alloc,2013-06-26,2145.47916667
alloc,2013-06-27,2173.54513889
alloc,2013-06-28,2246.72916667
alloc,2013-06-29,2077.56944444
alloc,2013-06-30,1418.42708333
alloc,2013-07-01,1797.65972222
alloc,2013-07-02,1813.86111111
alloc,2013-07-03,1374.1875
alloc,2013-07-04,1658.38888889
alloc,2013-07-05,1438.34027778
alloc,2013-07-06,1769.76736111
alloc,2013-07-07,1968.46875
alloc,2013-07-08,1894.21527778
alloc,2013-07-09,1957.95833333
alloc,2013-07-10,1973.10416667
alloc,2013-07-11,1901.21875
alloc,2013-07-12,1913.31597222
alloc,2013-07-13,1853.34375
alloc,2013-07-14,1872.61805556
alloc,2013-07-15,1891.95486111
alloc,2013-07-16,2096.93402778
alloc,2013-07-17,2184.33333333
alloc,2013-07-18,2139.32291667
alloc,2013-07-19,2052.8125
alloc,2013-07-20,1898.86111111
alloc,2013-07-21,1967.44097222
alloc,2013-07-22,1546.33680556
alloc,2013-07-23,2009.55208333
alloc,2013-07-24,1553.04861111
alloc,2013-07-25,2119.12152778
alloc,2013-07-26,1877.52430556
alloc,2013-07-27,1687.46180556
alloc,2013-07-28,1956.24305556
alloc,2013-07-29,1823.67361111
alloc,2013-07-30,1535.04513889
alloc,2013-07-31,1445.70833333
alloc,2013-08-01,1524.69444444
alloc,2013-08-02,1481.74652778
alloc,2013-08-03,723.777777778
alloc,2013-08-04,155.159722222
alloc,2013-08-05,1046.96527778
alloc,2013-08-06,2319.33680556
alloc,2013-08-07,3052.70486111
alloc,2013-08-08,3748.06597222
alloc,2013-08-09,3343.28125
alloc,2013-08-10,3498.875
alloc,2013-08-11,3691.33680556
alloc,2013-08-12,3302.15277778
alloc,2013-08-13,3150.52777778
alloc,2013-08-14,3501.55555556
alloc,2013-08-15,2910.61458333
alloc,2013-08-16,2567.75347222
alloc,2013-08-17,1976.0625
alloc,2013-08-18,1219.12152778
alloc,2013-08-19,1910.75
alloc,2013-08-20,3030.93055556
alloc,2013-08-21,4372.15972222
alloc,2013-08-22,3546.42361111
alloc,2013-08-23,4488.04166667
alloc,2013-08-24,4480.90625
alloc,2013-08-25,4251.05208333
alloc,2013-08-26,3031.54513889
alloc,2013-08-27,3183.73611111
alloc,2013-08-28,4359.66666667
alloc,2013-08-29,4237.07291667
alloc,2013-08-30,4422.73958333
alloc,2013-08-31,4024.52777778
alloc,2013-09-01,3303.32986111
alloc,2013-09-02,2298.32986111
alloc,2013-09-03,3278.75
alloc,2013-09-04,1108.33680556
alloc,2013-09-05,1214.57638889
alloc,2013-09-06,1194.35069444
alloc,2013-09-07,1432.21527778
alloc,2013-09-08,1031.04861111
alloc,2013-09-09,1145.51736111
alloc,2013-09-10,1285.61805556
alloc,2013-09-11,1040.88194444
alloc,2013-09-12,943.517361111
alloc,2013-09-13,1271.625
alloc,2013-09-14,1005.01041667
alloc,2013-09-15,989.493055556
alloc,2013-09-16,767.03125
alloc,2013-09-17,1155.90972222
alloc,2013-09-18,1300.62847222
alloc,2013-09-19,2113.71527778
alloc,2013-09-20,2140.67708333
alloc,2013-09-21,1679.55208333
alloc,2013-09-22,1436.75
alloc,2013-09-23,1980.66666667
alloc,2013-09-24,1899.45138889
alloc,2013-09-25,2246.55902778
alloc,2013-09-26,1372.52083333
alloc,2013-09-27,1124.80902778
alloc,2013-09-28,1103.62152778
alloc,2013-09-29,822.895833333
alloc,2013-09-30,437.274305556
alloc,2013-10-01,750.802083333
alloc,2013-10-02,2661.93402778
alloc,2013-10-03,3038.39583333
alloc,2013-10-04,4371.57638889
alloc,2013-10-05,4675.25347222
alloc,2013-10-06,4017.95833333
alloc,2013-10-07,3958.24652778
alloc,2013-10-08,3907.77430556
alloc,2013-10-09,4651.76388889
alloc,2013-10-10,4726.04513889
alloc,2013-10-11,4538.61458333
alloc,2013-10-12,3216.72222222
alloc,2013-10-13,3269.97916667
alloc,2013-10-14,4088.73958333
alloc,2013-10-15,4316.33333333
alloc,2013-10-16,3944.01388889
alloc,2013-10-17,3591.77430556
alloc,2013-10-18,4209.74652778
alloc,2013-10-19,3791.76388889
alloc,2013-10-20,2722.97222222
alloc,2013-10-21,3582.22916667
alloc,2013-10-22,4523.77777778
alloc,2013-10-23,4522.64236111
alloc,2013-10-24,4055.88194444
alloc,2013-10-25,4507.94791667
alloc,2013-10-26,3909.23611111
alloc,2013-10-27,3181.80555556
alloc,2013-10-28,4090.21180556
alloc,2013-10-29,3567.82291667
alloc,2013-10-30,3095.44791667
alloc,2013-10-31,2881.70833333
alloc,2013-11-01,3975.20486111
alloc,2013-11-02,4067.22916667
alloc,2013-11-03,2854.67013889
alloc,2013-11-04,2819.11458333
alloc,2013-11-05,3036.09027778
alloc,2013-11-06,2838.89236111
alloc,2013-11-07,3287.43402778
alloc,2013-11-08,3299.70138889
alloc,2013-11-09,3082.73611111
alloc,2013-11-10,2840.32638889
alloc,2013-11-11,3856.55902778
alloc,2013-11-12,3709.51736111
alloc,2013-11-13,3605.52083333
alloc,2013-11-14,3690.78125
alloc,2013-11-15,4693.04166667
alloc,2013-11-16,4144.29166667
alloc,2013-11-17,2473.32638889
alloc,2013-11-18,3174.06944444
alloc,2013-11-19,4665.04513889
alloc,2013-11-20,4129.98958333
