date,alloc,idle,other,pending,total
2013-06-01,1039.78431373,,,,2560.0
2013-06-02,749.6875,,,,2560.0
2013-06-03,1523.11805556,,,,2560.0
2013-06-04,2096.65972222,,,,2560.0
2013-06-05,1705.10069444,,,,2560.0
2013-06-06,2375.89583333,,,,2560.0
2013-06-07,1889.50347222,,,,2560.0
2013-06-08,1238.93055556,,,,1964.66666667
2013-06-09,1151.21875,,,,1782.66666667
2013-06-10,1524.34027778,,,,1776.0
2013-06-11,1687.17361111,,,,1776.0
2013-06-12,1904.64236111,,,,2181.33333333
2013-06-13,1618.59722222,,,,2098.0
2013-06-14,1739.62847222,,,,2035.33333333
2013-06-15,1823.96875,,,,2032.0
2013-06-16,1437.07638889,,,,2032.0
2013-06-17,1524.08680556,,,,2032.0
2013-06-18,1775.50347222,,,,2032.0
2013-06-19,1564.78472222,,,,2184.0
2013-06-20,1565.78472222,,,,2224.0
2013-06-21,1898.34027778,,,,2236.66666667
2013-06-22,1906.02430556,,,,2240.0
2013-06-23,922.708333333,,,,2240.0
2013-06-24,1727.72222222,,,,2240.0
2013-06-25,2110.375,,,,2240.0
2013-06-26,2145.47916667,,,,2290.66666667
2013-06-27,2173.54513889,,,,2304.0
2013-06-28,2246.72916667,,,,2304.0
2013-06-29,2077.56944444,,,,2304.0
2013-06-30,1418.42708333,,,,2304.0
2013-07-01,1797.65972222,,,,2304.0
2013-07-02,1813.86111111,,,,2304.0
2013-07-03,1374.1875,,,,2304.0
2013-07-04,1658.38888889,,,,2291.33333333
2013-07-05,1438.34027778,,,,2288.0
2013-07-06,1769.76736111,,,,2288.0
2013-07-07,1968.46875,,,,2288.0
2013-07-08,1894.21527778,,,,2288.0
2013-07-09,1957.95833333,,,,2237.33333333
2013-07-10,1973.10416667,,,,2224.0
2013-07-11,1901.21875,,,,2224.0
2013-07-12,1913.31597222,,,,2224.0
2013-07-13,1853.34375,,,,2224.0
2013-07-14,1872.61805556,,,,2224.0
2013-07-15,1891.95486111,,,,2224.0
2013-07-16,2096.93402778,,,,2224.0
2013-07-17,2184.33333333,,,,2224.0
2013-07-18,2139.32291667,,,,2224.0
2013-07-19,2052.8125,,,,2224.0
2013-07-20,1898.86111111,,,,2224.0
2013-07-21,1967.44097222,,,,2224.0
2013-07-22,1546.33680556,,,,2224.0
2013-07-23,2009.55208333,,,,2224.0
2013-07-24,1553.04861111,,,,2224.0
2013-07-25,2119.12152778,,,,2224.0
2013-07-26,1877.52430556,,,,2224.0
2013-07-27,1687.46180556,,,,2224.0
2013-07-28,1956.24305556,,,,2224.0
2013-07-29,1823.67361111,,,,2224.0
2013-07-30,1535.04513889,,,,2224.0
2013-07-31,1445.70833333,,,,2224.0
2013-08-01,1524.69444444,,,,2224.0
2013-08-02,1481.74652778,,,,2224.0
2013-08-03,723.7777777780001,,,,2224.0
2013-08-04,155.159722222,,,,2224.0
2013-08-05,1046.96527778,,,,2224.0
2013-08-06,2319.33680556,,,,4250.66666667
2013-08-07,3052.70486111,,,,4784.0
2013-08-08,3748.06597222,,,,4784.0
2013-08-09,3343.28125,,,,4784.0
2013-08-10,3498.875,,,,4784.0
2013-08-11,3691.33680556,,,,4784.0
2013-08-12,3302.15277778,,,,4784.0
2013-08-13,3150.52777778,,,,4784.0
2013-08-14,3501.55555556,,,,4784.0
2013-08-15,2910.61458333,,,,4784.0
2013-08-16,2567.75347222,,,,4784.0
2013-08-17,1976.0625,,,,4784.0
2013-08-18,1219.12152778,,,,4784.0
2013-08-19,1910.75,,,,4784.0
2013-08-20,3030.93055556,,,,4784.0
2013-08-21,4372.15972222,,,,5037.33333333
2013-08-22,3546.42361111,,,,5104.0
2013-08-23,4488.04166667,,,,5104.0
2013-08-24,4480.90625,,,,5104.0
2013-08-25,4251.05208333,,,,5104.0
2013-08-26,3031.54513889,,,,5104.0
2013-08-27,3183.73611111,,,,5104.0
2013-08-28,4359.66666667,,,,5104.0
2013-08-29,4237.07291667,,,,4977.33333333
2013-08-30,4422.73958333,,,,4944.0
2013-08-31,4024.52777778,,,,4944.0
2013-09-01,3303.32986111,,,,4944.0
2013-09-02,2298.32986111,,,,4944.0
2013-09-03,3278.75,,,,4944.0
2013-09-04,1108.33680556,,,,4944.0
2013-09-05,1214.57638889,,,,4944.0
2013-09-06,1194.35069444,,,,4944.0
2013-09-07,1432.21527778,,,,4944.0
2013-09-08,1031.04861111,,,,4944.0
2013-09-09,1145.51736111,,,,4944.0
2013-09-10,1285.61805556,,,,4944.0
2013-09-11,1040.88194444,,,,4944.0
2013-09-12,943.517361111,,,,4944.0
2013-09-13,1271.625,,,,4944.0
2013-09-14,1005.01041667,,,,4944.0
2013-09-15,989.4930555560001,,,,4944.0
2013-09-16,767.03125,,,,4944.0
2013-09-17,1155.90972222,,,,4944.0
2013-09-18,1300.62847222,,,,4944.0
2013-09-19,2113.71527778,,,,4944.0
2013-09-20,2140.67708333,,,,4944.0
2013-09-21,1679.55208333,,,,4944.0
2013-09-22,1436.75,,,,4944.0
2013-09-23,1980.66666667,,,,4944.0
2013-09-24,1899.45138889,,,,4944.0
