account,jobs,su,users,cpuhours,cycle
pi-depablo,301554,2070821.75,38,17620517.51,2016
pi-aaz,2766,2037494.11,8,2044214.9919,2016
pi-gavoth,87541,1797102.35,38,22828921.0653,2016
pi-freed,196885,1491106.41,12,1616056.1353,2016
pi-taddy,6137,1292430.17,11,1299632.4967,2016
pi-wtang,437,1128672.3,6,1128670.6525,2016
pi-roux,137292,981598.71,27,6451604.6281,2016
pi-rkessler,241380,748307.31,18,747121.9594,2016
pi-abbot,5800,745701.8,5,747131.2019,2016
pi-gagalli,58368,729872.57,21,8219456.0025,2016
rcc-temp2,18166,722340.72,7,722263.6294,2016
pi-mfj,2221,692734.0,3,692724.7414,2016
pi-whu5,13221,680026.74,4,679968.2961,2016
pi-rbgramacy,240,651643.33,1,651652.2094,2016
pi-joshuaelliott,156031,627359.72,7,759333.8644,2016
pi-trsosnic,11826,578872.57,6,579145.6308,2016
pi-dinner,49877,520913.27,13,559957.1922,2016
pi-mstephens,21247,500160.28,14,686521.2917,2016
pi-svaikunt,16259,486812.86,6,1890391.5161,2016
pi-kravtsov,2785,484556.47,11,518315.5181,2016
pi-vmbertho,79,472381.07,1,472380.8822,2016
pi-burhan,2542,420989.61,2,420977.3636,2016
pi-arzhetsky,6990,386759.91,5,400501.3803,2016
pi-pascualmm,548076,382206.43,8,386866.385,2016
pi-tintelnot,9621,378848.91,6,378987.6658,2016
pi-kite,1372,374631.35,6,511951.8578,2016
pi-gdwyer,101545,346721.75,7,493471.4508,2016
pi-bkeenan,466,293926.16,2,297744.2958,2016
pi-jaredlewis,1622,259263.2,6,259327.5128,2016
pi-lgrandi,801998,249504.21,22,612970.5406,2016
pi-drowley,70,215446.28,1,215445.9733,2016
pi-vzhorin,1006,201835.32,1,201831.5092,2016
pi-nfschere,848,193871.25,4,193885.0958,2016
rcc-staff,33662,185580.11,34,498223.155,2016
pi-scrosson,728,179929.0,2,180199.9178,2016
pi-cobey,53147,172337.34,9,209461.3158,2016
pi-ehurst,59071,166452.15,5,339138.9611,2016
pi-dbiron,4858,163973.61,3,169487.1703,2016
pi-jnovembre,31143,149476.4,4,226886.9422,2016
pi-sibener,961,138167.64,1,138163.1806,2016
pi-rwg,1864,138029.68,3,138022.4261,2016
pi-dholz,1548,126263.86,3,126257.305,2016
pi-akonigl,47,125558.96,2,125558.7556,2016
pi-eperozo,71,111918.96,3,111918.83,2016
pi-hortacsu,16535,107435.89,8,107922.8589,2016
pi-mkre,2553,103471.52,2,111679.6472,2016
pi-skeedy,901,97473.19,5,97468.8703,2016
bios10603,570,92121.76,29,92119.2264,2016
pi-drm7,1145,91257.32,2,91336.8444,2016
pi-jecarlst,1318,86563.12,4,86559.2186,2016
pi-jozik,327,64955.92,4,64954.5381,2016
pi-sepalmer,91608,59015.05,7,121021.2525,2016
pi-sdodelso,3797,57344.63,7,57326.3392,2016
pi-salesina,278,57287.88,1,57286.5822,2016
pi-ftchong,7509,53526.56,2,54962.0519,2016
msca,2313,52615.37,28,64922.0731,2016
chem26800,2439,50972.0,21,50957.1647,2016
pi-dachxiu,10277,50855.24,5,73481.7,2016
bios11102,381,49093.94,4,49092.5422,2016
pi-rjlalond,874,45273.06,2,45269.5447,2016
pi-neiman,7966,35256.02,5,91756.6,2016
pi-tokmakoff,29499,33928.78,10,489975.23,2016
pi-levin,947,32789.86,4,32785.9511,2016
pi-jdingel,92005,30637.62,4,35771.2167,2016
pi-jfrieman,189,28866.46,1,28865.5789,2016
pi-risi,3635,26715.49,4,26761.1614,2016
pi-jschnei1,1022,26677.01,1,26678.2133,2016
pi-moyer,3633,26448.97,10,27691.7814,2016
pi-mkolar,1234,25615.14,3,29843.1836,2016
pi-rossc,1052,24084.61,7,133482.9797,2016
pi-wenbinlin,303,23820.08,5,23818.5978,2016
pi-stin,1227,23393.46,2,23386.8997,2016
pi-wtmirvine,4560,22156.94,5,22135.9353,2016
pi-nicho,7711,21063.86,8,38125.0711,2016
pi-mlcoleman,2386,20883.23,6,36109.9414,2016
pi-ishanu,4322,20741.88,2,20771.3031,2016
pi-jacobbean,84,20557.53,1,30738.6444,2016
geos33300,178,20307.55,4,20306.7892,2016
pi-gilbertjack,1604,19728.5,13,33960.1242,2016
pi-wilsonp,1830,18413.29,2,18405.1494,2016
pi-richardjeanso,443,17118.43,1,17116.4444,2016
pi-aachien,1872,16405.69,4,16397.1644,2016
pi-tas1,12373,14227.78,6,977021.1878,2016
pi-bkelly0,1589,12854.69,3,14022.5978,2016
pi-amurugan,2395,11327.14,4,12551.4994,2016
pi-rtp1,406,11233.01,2,11231.1922,2016
pi-nnn,92,10516.29,1,10515.9022,2016
pi-avieregg,2160,10260.28,4,10247.9792,2016
pi-dhooper,539,10128.62,1,10126.1578,2016
mpcs51087,3465,10074.67,16,10597.3186,2016
pi-ljb4,169,10045.74,2,10044.925,2016
bios26120,940,9193.82,27,9189.1378,2016
pi-nbrunel,483,8837.48,4,8835.2044,2016
pi-haky,2247,8493.92,3,8485.0133,2016
pi-fciesla,132,8451.98,2,8451.3178,2016
pi-rstevens,248,7970.02,1,7969.4578,2016
pi-kazutaka,162,7710.2,5,19017.8456,2016
pi-belavina,36,7093.09,1,7092.9253,2016
pi-jdube,3452,5911.29,2,10949.9233,2016
pi-sokolov,222,5890.57,1,5921.8125,2016
pi-lamadon,98,5225.94,1,5225.5717,2016
pi-arac,25,5110.84,1,5111.1178,2016
pi-rayid,47,5085.1,1,5084.8819,2016
pi-jevans,717,5001.99,9,144784.2217,2016
pi-tten,506,4871.78,1,4869.6464,2016
pi-littlewood,1438,4839.76,1,4831.3422,2016
pi-l332,266,4795.59,1,5149.4097,2016
pi-wbwu,99,4722.53,2,4722.1214,2016
pi-fabrycky,11308,4537.87,4,488028.7919,2016
pi-collar,1082,4114.44,1,4108.2794,2016
pi-prhahn,534,4078.32,2,4076.3278,2016
pi-jaeger,266,3942.1,5,4069.2153,2016
pi-aclyu,76,3911.42,5,3911.1019,2016
pi-foster,478,3607.53,2,3605.3431,2016
meng34200,284,3582.2,9,3580.9178,2016
pi-berkelbach,3776,3231.04,3,3210.5033,2016
pi-kcharles,3784,3132.03,1,3115.6767,2016
pi-adirienz,1432,3043.45,1,3037.1769,2016
pi-scicala,111,2983.68,1,16761.5217,2016
soci40133,183,2916.57,9,2915.8172,2016
pi-gilad,3773,2871.19,3,3597.3961,2016
pi-ghitsch,117,2380.59,2,2399.7867,2016
pi-rrock,2748,2115.2,2,2328.8767,2016
pi-jinbo,475,1908.04,3,1905.4611,2016
pi-dpope,60,1802.0,1,4004.2756,2016
pi-glk,41230,1560.86,4,1389.4383,2016
pi-dfreedman,137,1497.56,1,1496.8117,2016
pi-sliman,18,1459.92,2,1482.8864,2016
pi-awsch,235,1435.87,2,1435.7986,2016
pi-ckao95,438,1398.64,3,1525.2194,2016
mpcs56420,1494,1157.08,6,1150.0011,2016
pi-dis,129,643.14,7,642.5097,2016
pi-vavra,269,608.16,1,2279.7331,2016
pi-asufi,81,512.45,1,646.9717,2016
pi-iawad,510,489.82,4,7123.4475,2016
pi-larogers,538,488.9,1,486.2603,2016
pi-abney,87,429.9,1,429.5378,2016
pi-wilde,1626,414.82,5,2328.1178,2016
pi-yaliamit,206,400.74,1,399.6408,2016
pi-mhale,1,384.04,1,384.0356,2016
pi-pchintag,22,332.96,1,332.9064,2016
pi-gan1,116,319.47,1,318.8314,2016
pi-johntmurphy,9,257.65,1,257.6156,2016
pi-gskarczm,889,228.85,2,880.6031,2016
pi-aolinto,7517,215.3,1,172.045,2016
pi-pricet,93,206.49,2,926.2394,2016
pi-hfrisch,27,198.94,2,233.6033,2016
pi-tanhuan,126,168.8,2,3695.6058,2016
pi-siegela,131,151.17,1,150.2972,2016
pi-abinkowski,412,141.8,1,139.3903,2016
rcc-instructor,51,108.43,3,108.2231,2016
mgcb32000,78,99.57,8,99.2064,2016
pi-gulotty,8,79.59,1,79.5556,2016
pi-jhubbell,234,75.44,1,74.3119,2016
pi-drubin8,80,69.32,4,68.9011,2016
pi-hdew,66,59.68,2,59.3567,2016
pi-tcovert,125,56.5,2,61.9631,2016
pi-liantaow,5383,55.55,2,10.8356,2016
pi-emunro,88,49.13,2,53.1675,2016
pi-ajaved,10,46.27,1,46.1978,2016
meng23000,271,45.38,4,44.1689,2016
pi-jponticelli,17,45.36,1,45.27,2016
pi-btian,25,44.82,2,44.6978,2016
stat37820,81,39.16,1,39.335,2016
rossby,299,36.09,46,620.6547,2016
pi-tuecke,25,36.08,1,35.9753,2016
pi-egrove,43,32.47,1,50.2261,2016
pi-sethi,2,29.02,1,29.0033,2016
pi-malegre,23,21.84,2,21.7078,2016
rcc-guest,14,20.55,7,20.4853,2016
pi-xinhe,30,18.2,1,18.1481,2016
pi-qitiguo,17,18.18,1,18.0928,2016
pi-jongrant,24,17.07,1,16.95,2016
pi-dbrentari,14,14.56,1,14.4903,2016
kicp,257473,11.1,50,2438858.1125,2016
pi-vbindoka,22,10.94,2,10.8583,2016
pi-gkaplan,6,5.12,1,5.0817,2016
pi-jpadgett,9,4.02,1,4.0092,2016
pi-sraudenb,8,3.59,1,8.3878,2016
pi-kettimut,543,3.46,5,41301.2875,2016
pi-mhereld,25,3.45,1,3.3389,2016
pi-jstaley,2,3.08,1,3.0633,2016
pi-nealey,14,2.37,2,261.4369,2016
pi-oto,2,2.01,1,66.035,2016
pi-lekheng,56,1.73,2,1280.4633,2016
pi-pjlarivi,9,1.39,1,1.3469,2016
pi-stuartrowan,4,0.25,1,0.2222,2016
pi-jgrogger,6,0.12,1,0.1067,2016
pi-dgallo,2,0.1,1,1.4483,2016
pi-anitescu,6,0.07,1,0.0456,2016
pi-wulongtao,2,0.06,1,0.0442,2016
pi-jagoldsm,1,0.01,1,0.0075,2016
weare-dinner,87687,0.0,11,736715.7144,2016
pi-jand312,181,0.0,1,21183.7286,2016
pi-rcohen,2,0.0,1,1.0933,2016
pi-imoskowitz,30,0.0,1,1418.5606,2016
lenovo,109,0.0,1,603.6647,2016
pi-eatock,5,0.0,4,129.8267,2016
pi-mets,1,0.0,1,0.0,2016
pi-bridgetm,1,0.0,1,0.0578,2016
rcc-special-admin,14,0.0,1,11.5958,2016
cron-account,110741,0.0,7,517.2247,2016
pi-mgilliam1,4,0.0,1,0.0,2016
surph,779,0.0,6,1826860.0867,2016
