,account,jobs,su,users,avg_cores,avg_nodes,cpuhours
0,pi-depablo,9039,4275831.58,30,32.2257,2.6343,4275798.1858
1,pi-roux,28510,3498957.65,14,21.0941,1.6391,3498851.6953
2,pi-gavoth,29587,3170670.67,31,18.0258,1.6496,3170563.6411
3,pi-freed,27978,1151672.56,12,4.867,1.2749,1151551.5025
4,pi-dbiron,3691,1096832.49,7,39.0921,2.5454,1096816.0233
5,pi-gagalli,16141,999156.9,11,21.3284,2.1509,999091.9561
6,pi-mfj,1635,979188.5,2,47.3064,3.0905,979181.6908
7,pi-joshuaelliott,209460,871492.28,6,8.7891,1.471,871019.5347
8,pi-svaikunt,24428,830639.77,8,5.2178,1.2621,830521.2133
9,pi-taddy,1414,787032.65,8,130.4208,8.5375,787027.1911
10,pi-hortacsu,1032,725888.99,5,46.7306,5.8469,725884.9978
11,pi-akonigl,274,609496.31,3,161.2847,10.1533,609495.1422
12,pi-whu5,586,504004.6,3,74.5273,4.9454,504002.4086
13,pi-tintelnot,11519,465335.68,4,6.143,1.1076,465285.8508
14,pi-dinner,83742,462544.77,16,1.9355,1.0711,462096.3008
15,pi-kravtsov,2755,462027.69,9,19.2283,1.8588,462015.3519
16,pi-fabrycky,4579,323287.0,3,4.5075,1.4252,323265.3164
17,pi-abbot,45543,314488.24,3,15.7094,15.3145,314256.6836
18,pi-collar,401737,271393.42,2,0.9872,1.0133,269107.4661
19,pi-vzhorin,2315,265463.97,1,13.1343,1.0523,265453.8847
20,pi-kite,11605,255707.78,3,2.9773,1.071,255663.9097
21,pi-drowley,36,250150.84,1,274.4444,17.6667,250150.6811
22,pi-aachien,643,224009.44,4,72.4541,14.3297,224007.0994
23,pi-sibener,2451,203853.19,1,7.8548,1.1954,203843.3408
24,pi-ishanu,26243,200762.34,1,15.0318,1.0615,200653.8622
25,pi-jaredlewis,201,187093.71,4,85.204,5.9403,187092.9147
26,pi-ehurst,223978,169307.27,2,1.0239,1.0104,168231.4086
27,pi-foster,834,168489.06,4,62.1882,4.2026,168485.4114
28,pi-tas1,2854,160052.88,2,33.9149,2.6282,160039.4553
29,pi-mstephens,6418,138613.82,7,1.9637,1.0768,138582.2925
30,pi-jinbo,62589,101943.18,3,0.939,1.0993,101649.83
31,pi-wtang,63,99005.33,2,136.6984,8.6984,99005.0844
32,pi-rjlalond,1528,96526.24,1,11.2219,1.2029,96519.3675
33,pi-neiman,787,92970.41,3,10.5146,1.0368,92966.8425
34,pi-jozik,27155,89163.18,5,16.9313,1.0808,89028.3864
35,rcc-staff,6712,72260.9,19,13.9382,1.8461,72228.3003
36,pi-sdodelso,541,70514.5,3,11.1885,1.4344,70512.1667
37,pi-pascualmm,334019,70055.31,6,1.0025,1.0049,68713.3992
38,pi-cobey,336613,69494.96,10,1.35,1.0517,67674.6158
39,pi-dvtalapin,109,65780.91,2,35.7156,3.3761,65780.5717
40,pi-wenbinlin,609,64985.89,8,12.5402,1.0854,64983.3089
41,pi-rkessler,125051,59181.74,7,1.0444,1.0352,58477.6172
42,pi-rwg,6550,55511.59,5,2.0186,1.0379,55476.6736
43,pi-aaz,92,55282.86,6,83.6522,5.4783,55282.5342
44,msca,1148,55009.63,30,18.5976,1.4495,55004.9436
45,pi-levin,784,53201.74,4,12.0128,1.4707,53198.9542
46,pi-jfrieman,508,51226.42,1,8.9961,1.0335,51224.3383
47,pi-gdwyer,22183,48295.7,5,1.664,1.087,48186.2464
48,pi-nicho,7674,41934.92,6,1.7177,1.0838,41898.6458
49,pi-dholz,1157,40370.43,2,11.7684,1.0285,40365.3644
50,pi-rbgramacy,222,34809.45,1,53.8108,3.4234,34808.4639
51,pi-burhan,629,34251.92,3,56.5167,5.3927,34248.3222
52,pi-rtp1,733,33361.44,2,18.0491,1.1814,33358.2417
53,pi-liantaow,710015,33072.3,2,0.9962,1.0039,29444.7619
54,pi-bkelly0,8680,31783.6,2,15.8781,1.0032,31744.895
55,pi-jschnei1,640,30687.1,2,12.4,2.3031,30684.0336
56,pi-mkolar,13330,28424.95,3,1.3853,1.0967,28364.3347
57,pi-sepalmer,14753,28421.63,2,3.0012,1.025,28338.3936
58,pi-gilbertjack,39784,28198.74,13,15.31,1.0178,28006.7628
59,pi-tokmakoff,6872,27901.11,5,2.4269,1.0716,27868.5908
60,pi-moyer,3145,23794.52,9,3.9002,1.1424,23779.1019
61,pi-rrock,608,22890.98,2,16.5033,8.9178,22887.5369
62,pi-cosar,414,22786.21,1,8.4928,1.128,22784.6164
63,pi-dhooper,5500,22522.7,2,2.6213,1.0947,22498.9461
64,pi-dachxiu,233,22451.74,3,15.6223,1.0258,22450.6356
65,pi-wilde,4539,21139.71,8,15.8467,1.4349,21123.2161
66,pi-yaliamit,8845,20817.61,4,0.9815,1.0276,20769.6275
67,astr33000,1777,20474.54,14,3.1216,1.2217,20465.6244
68,pi-trsosnic,12151,17314.11,5,1.1648,1.0541,17255.6086
69,pi-lgrandi,1041,14545.32,5,53.684,4.3141,14541.84
70,pi-bkeenan,273,14433.55,2,19.0952,2.2051,14432.3289
71,pi-aclyu,385,14164.33,5,13.5377,2.1558,14162.6486
72,pi-khanna7,18,12907.99,2,86.1667,6.1667,12907.9236
