,cycle,account,Allocation,Allocation_Portion,Comsumed,Conseme_portion
0,2013,pi-dbiron,300000.0,0.03244997295835587,707289.27,0.04115629023109496
1,2013,pi-depablo,2000000.0,0.21633315305570577,5747291.37,0.33442779595170075
2,2013,pi-dinner,500000.0,0.05408328826392644,517118.63,0.03009049525123746
3,2013,pi-drowley,500000.0,0.05408328826392644,512918.8,0.029846112323724278
4,2013,pi-freed,700000.0,0.07571660356949703,1408766.05,0.08197435883837632
5,2013,pi-gavoth,1325000.0,0.1433207138994051,2209442.07,0.12856470886616336
6,2013,pi-kravtsov,150000.0,0.016224986479177934,1287102.48,0.07489490576329837
7,2013,pi-roux,500000.0,0.05408328826392644,1628097.05,0.09473695919943692
8,2014,pi-dbiron,1300000.0,0.05033102326841922,1309947.7,0.05230933703542971
9,2014,pi-depablo,1400000.0,0.05420264044291301,6911032.32,0.27597400941245803
10,2014,pi-dinner,1000000.0,0.03871617174493786,814035.77,0.03250639048553278
11,2014,pi-drowley,1000000.0,0.03871617174493786,1156270.0,0.046172619818299857
12,2014,pi-freed,1150000.0,0.04452359750667854,2508782.0,0.10018165090592504
13,2014,pi-gagalli,80000.0,0.003097293739595029,1250042.7,0.04991718745945243
14,2014,pi-gavoth,2494000.0,0.09655813233187502,2038391.79,0.0813978475273195
15,2014,pi-kravtsov,1500000.0,0.05807425761740679,1096899.54,0.04020448252495252
16,2014,pi-roux,2000000.0,0.07743234348987572,4494578.96,0.16473908016621033
17,2015,pi-dbiron,1400000.0,0.032087519350779636,1200897.97,0.04401632026312633
18,2015,pi-depablo,2000000.0,0.045839313358256625,1000469.23,0.03667003787264574
19,2015,pi-dinner,1000000.0,0.022919656679128313,3620870.03,0.13271516719412543
20,2015,pi-drowley,1500000.0,0.03437948501869247,3501293.27,0.1283323394305087
21,2015,pi-freed,1100000.0,0.025211622347041145,2070821.75,0.07744927863251116
22,2015,pi-gagalli,1000000.0,0.022919656679128313,1491106.41,0.055767772295618113
23,2015,pi-gavoth,3610560.0,0.08275279561939353,729872.57,0.02729742627058896
24,2015,pi-kravtsov,600000.0,0.013751794007476987,1797102.35,0.0672121010107657
25,2015,pi-roux,3500000.0,0.08021879837694909,981598.71,0.03671205017819786
26,2016,pi-dbiron,300000.0,0.005798628141225589,7593932.9,0.11899753068383301
27,2016,pi-depablo,3250000.0,0.06281847152994387,1999191.01,0.031327481647265815
28,2016,pi-dinner,600000.0,0.011597256282451177,2142300.15,0.03357001321852673
29,2016,pi-drowley,200000.0,0.0038657520941503924,6182699.57,0.09688339250271702
30,2016,pi-freed,1550000.0,0.02995957872966554,8066797.13,0.12640735066245198
31,2016,pi-gagalli,1500000.0,0.02899314070612794,2109468.88,0.03305554461435797
32,2016,pi-gavoth,2600000.0,0.0502547772239551,3169284.33,0.07130809353142493
33,2016,pi-kravtsov,500000.0,0.009664380235375981,2001120.57,0.04502470523785992
34,2016,pi-roux,2000000.0,0.038657520941503924,2617346.6,0.058889634606232075
35,2017,pi-dbiron,350000.0,0.004153295724409889,2907503.12,0.0654180827076092
36,2017,pi-depablo,6000000.0,0.0711993552755981,2143337.05,0.04822453996444313
37,2017,pi-dinner,1750000.0,0.020766478622049448,,
38,2017,pi-drowley,1000000.0,0.011866559212599685,,
39,2017,pi-freed,2200000.0,0.026106430267719305,,
40,2017,pi-gagalli,3000000.0,0.03559967763779905,,
41,2017,pi-gavoth,6548000.0,0.07770222972410273,,
42,2017,pi-kravtsov,1500000.0,0.017799838818899526,,
43,2017,pi-roux,2100000.0,0.02491977434645934,,
44,2018,pi-depablo,4000000.0,0.03892866105833774,,
45,2018,pi-dinner,3000000.0,0.029196495793753306,,
46,2018,pi-drowley,100000.0,0.0009732165264584435,,
47,2018,pi-freed,1650000.0,0.01605807268656432,,
48,2018,pi-gagalli,4000000.0,0.03892866105833774,,
49,2018,pi-gavoth,4000000.0,0.03892866105833774,,
50,2018,pi-kravtsov,1000000.0,0.009732165264584435,,
51,2018,pi-roux,4000000.0,0.03892866105833774,,
