,account,allocation,Unnamed: 0,jobs,su,users,avg_cores,avg_nodes,cpuhours,cycle,Usage,Usage_Portion,SU_job,SU_user,Job_user
0,pi-depablo,2.0,0.0,280213.0,5.59943543,25.0,15.4372,1.0765,5598894.0722,2013.0,5599435.43,1.0,19.98278249046261,223977.4172,11208.52
0,pi-depablo,2.0,0.0,128027.0,6.90999238,30.0,20.5905,1.5637,6909452.9458,2014.0,6909992.38,1.0,53.97293055371133,230333.07933333333,4267.566666666667
0,pi-depablo,2.0,0.0,9039.0,4.27583158,30.0,32.2257,2.6343,4275798.1858,2015.0,4275831.58,1.0,473.0425467418962,142527.71933333334,301.3
0,pi-depablo,2.0,1.0,39312.0,1.9556730500000001,30.0,6.997999999999998,1.1845,1955507.7431,2016.0,1955673.05,0.9778365250000001,49.74748295685796,65189.10166666667,1310.4
0,pi-depablo,2.0,1.0,23678.0,7.10592755,36.0,42.7154,2.0379,8785714.8814,2017.0,7105927.55,1.0,300.1067467691528,197386.8763888889,657.7222222222222
0,pi-depablo,2.0,1.0,22339.0,3.64763225,28.0,25.3279,1.5012,3167726.4825,2018.0,3647632.25,1.0,163.28538654371278,130272.58035714286,797.8214285714286
1,pi-gavoth,1.325,1.0,14916.0,2.2091723500000002,26.0,27.5141,2.3598,2209127.4683,2013.0,2209172.35,1.0,148.10755899705015,84968.16730769232,573.6923076923077
1,pi-gavoth,1.325,1.0,16609.0,2.4404844199999998,27.0,18.1873,1.8029,2440408.7608,2014.0,2440484.42,1.0,146.937468842194,90388.31185185185,615.1481481481482
1,pi-gavoth,1.325,2.0,29587.0,3.17067067,31.0,18.0258,1.6496,3170563.6411,2015.0,3170670.67,1.0,107.16431777469835,102279.69903225807,954.4193548387096
1,pi-gavoth,1.325,2.0,7644.0,1.60423284,35.0,24.1692,1.6515,1604210.4692,2016.0,1604232.84,1.0,209.86824175824177,45835.224,218.4
1,pi-gavoth,1.325,0.0,44901.0,7.87257505,32.0,31.4945,1.8467,7914274.1597,2017.0,7872575.05,1.0,175.33184227522773,246017.9703125,1403.15625
1,pi-gavoth,1.325,2.0,12332.0,3.13385581,28.0,50.54600000000001,2.8039,2809680.9072,2018.0,3133855.81,1.0,254.12388987998702,111923.4217857143,440.42857142857144
2,pi-freed,0.7,3.0,12722.0,1.37483435,9.0,25.8114,2.5006,1374792.3506,2013.0,1374834.35,1.0,108.06746973746267,152759.37222222224,1413.5555555555557
2,pi-freed,0.7,5.0,34035.0,1.0941338200000001,10.0,2.317,1.1125,1093972.6194,2014.0,1094133.82,1.0,32.14731364771559,109413.38200000001,3403.5
2,pi-freed,0.7,3.0,27978.0,1.15167256,12.0,4.867,1.2749,1151551.5025,2015.0,1151672.56,1.0,41.16350561155193,95972.71333333333,2331.5
2,pi-freed,0.7,3.0,137047.0,1.45546723,12.0,2.7527,0.9565,1454908.2756,2016.0,1455467.23,1.0,10.620204966179486,121288.93583333334,11420.583333333334
2,pi-freed,0.7,4.0,25403.0,2.14033389,10.0,11.4941,1.3809,2103772.5714,2017.0,2140333.89,1.0,84.25516238239578,214033.38900000002,2540.3
2,pi-freed,0.7,12.0,917.0,1.28240654,7.0,256.7721,9.6892,990617.4689,2018.0,1282406.54,1.0,1398.4804143947656,183200.9342857143,131.0
3,pi-joshuaelliott,0.5,14.0,2560.0,0.11236175999999999,7.0,22.5645,2.4988,112350.4444,2013.0,112361.76,0.22472351999999998,43.8913125,16051.679999999998,365.7142857142857
3,pi-joshuaelliott,0.5,6.0,149013.0,1.00552057,9.0,16.7292,1.378,1004965.0736,2014.0,1005520.57,1.0,6.747871460879252,111724.50777777778,16557.0
3,pi-joshuaelliott,0.5,7.0,209460.0,0.87149228,6.0,8.7891,1.471,871019.5347,2015.0,871492.28,1.0,4.160662083452688,145248.71333333335,34910.0
3,pi-joshuaelliott,0.5,14.0,114703.0,0.62719879,7.0,10.432,0.7101,626870.1783,2016.0,627198.79,1.0,5.468024288815463,89599.82714285715,16386.14285714286
3,pi-joshuaelliott,0.5,21.0,127833.0,0.8501991600000001,5.0,12.7873,1.0,849779.9625,2017.0,850199.16,1.0,6.650858229095774,170039.832,25566.6
3,pi-joshuaelliott,0.5,196.0,2.0,2.58e-06,1.0,1.0,1.0,2.5836,2018.0,2.58,5.16e-06,1.29,2.58,2.0
4,pi-fciesla,0.5,9.0,1515.0,0.49871706,2.0,24.9782,5.2568,498710.975,2013.0,498717.06,0.99743412,329.1861782178218,249358.53,757.5
4,pi-fciesla,0.5,20.0,250.0,0.16976660000000002,2.0,35.324,13.82,169765.6572,2014.0,169766.6,0.33953320000000003,679.0664,84883.3,125.0
4,pi-fciesla,0.5,80.0,32.0,0.006585199999999999,1.0,18.125,18.3125,6585.0722,2015.0,6585.2,0.013170399999999999,205.7875,6585.2,32.0
4,pi-fciesla,0.5,91.0,125.0,0.00804945,2.0,14.064,13.656,8048.8067,2016.0,8049.45,0.0160989,64.3956,4024.725,62.5
